RVL;VW;Verkaufsstellennr.;Name 1;Name 2;Name 3;Strasse;PLZ;Ort;Adresszusatz;Typ;Öffnungszeiten Montag 1;Öffnungszeiten Montag 2;Öffnungszeiten Montag 3;Öffnungszeiten Dienstag 1;Öffnungszeiten Dienstag 2;Öffnungszeiten Dienstag 3;Öffnungszeiten Mittwoch 1;Öffnungszeiten Mittwoch 2;Öffnungszeiten Mittwoch 3;Öffnungszeiten Donnerstag 1;Öffnungszeiten Donnerstag 2;Öffnungszeiten Donnerstag 3;Öffnungszeiten Freitag 1;Öffnungszeiten Freitag 2;Öffnungszeiten Freitag 3;Öffnungszeiten Samstag 1;Öffnungszeiten Samstag 2;Öffnungszeiten Samstag 3;Öffnungszeiten Sonntag 1;Öffnungszeiten Sonntag 2;Öffnungszeiten Sonntag 3;Koord_Lat;Koord_Lon
West;13;503730;Reisezentrum Neheim-Hüsten;;;Bahnhofstr. 36;59759;Arnsberg  ;;Reisezentrum;08:00-12:15;13:30-17:30;;08:00-12:15;13:30-17:30;;08:00-12:15;13:30-17:30;;08:00-12:15;13:30-17:30;;08:00-12:15;13:30-17:30;;08:00-13:30;;;;;;51438274;7970735
West;13;503920;Reisezentrum Neuss Hbf;;;Furtherstr. 1;41460;Neuss;;Reisezentrum;08:30-18:00;;;08:30-18:00;;;08:30-18:00;;;08:30-18:00;;;08:30-18:00;;;08:30-14:00;;;;;;51204100;6684120
West;13;504027;Reisezentrum Oberhausen Hbf;;;Willy Brandt Platz 1;46045;Oberhausen;;Reisezentrum;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;08:30-16:00;;;09:00-14:30;;;51473815;6853852
West;13;504076;Reisezentrum Paderborn Hbf;;;Bahnhofstr. 29;33102;Paderborn;;Reisezentrum;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;08:00-17:00;;;10:00-16:00;;;51713530;8740472
West;13;503532;Reisezentrum Recklinghausen Hbf;;;Große Perdekampstr. 2;45657;Recklinghausen;;Reisezentrum;06:30-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:30-15:00;;;10:00-14:00;;;51615656;7202463
West;13;503805;Reisezentrum Rheine;;;Am Hauptbahnhof 2;48431;Rheine;;Reisezentrum;08:00-18:30;;;08:00-18:30;;;08:00-18:30;;;08:00-18:30;;;08:00-18:30;;;08:00-13:30;;;11:00-16:30;;;52276597;7435445
West;13;503763;Reisezentrum Schwerte (Ruhr);;;Bahnhofstr. 35;58239;Schwerte;;Reisezentrum;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-13:30;;;;;;51442147;7559382
West;13;504167;Reisezentrum Siegburg;;;Europaplatz 2-3;53721;Siegburg;;Reisezentrum;06:00-19:00;;;06:30-19:00;;;06:30-19:00;;;06:30-20:00;;;06:30-19:00;;;07:30-17:45;;;09:30-18:45;;;50793826;7204350
West;13;504225;Reisezentrum Siegen;;;Am Bahnhof 18;57072;Siegen;;Reisezentrum;08:00-17:45;;;08:00-17:45;;;08:00-17:45;;;08:00-17:45;;;08:00-17:45;;;08:00-15:15;;;;;;50875106;8015887
West;13;504050;Reisezentrum Soest;;;Bahnhofstr. 2;59494;Soest;;Reisezentrum;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;;;;;;;51577838;8105276
West;13;504233;Reisezentrum Solingen Hbf;;;Bahnstr. 5;42697;Solingen;;Reisezentrum;08:30-12:30;13:30-17:00;;08:30-12:30;13:30-17:00;;08:30-12:30;13:30-17:00;;08:30-12:30;13:30-17:00;;08:30-12:30;13:30-17:00;;09:45-15:15;;;;;;51161341;7003369
West;13;503771;Reisezentrum Unna;;;Bahnhofstr. 76;59423;Unna;;Reisezentrum;08:00-13:00;14:00-18:00;;08:00-13:00;14:00-18:00;;08:00-13:00;14:00-18:00;;08:00-13:00;14:00-18:00;;08:00-13:00;14:00-18:00;;08:00-13:30;;;;;;51538627;7692860
West;13;503516;Reisezentrum Wanne-Eickel Hbf;;;Heinz-Rühmann-Platz 1;44649;Herne;;Reisezentrum;09:00-16:00;;;09:00-16:00;;;09:00-16:00;;;09:00-16:00;;;09:00-16:00;;;;;;;;;51532110;7165031
West;13;504001;Reisezentrum Wesel;;;Franz-Etzel-Platz 17;46483;Wesel;;Reisezentrum;07:30-17:30;;;08:30-17:30;;;08:30-17:30;;;08:30-17:30;;;08:30-17:30;;;09:00-13:30;;;;;;51655712;6626020
West;13;504241;Reisezentrum Wuppertal Hbf;;;Döppersberg 37;42103;Wuppertal;;Reisezentrum;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;08:00-17:30;;;10:15-15:45;;;51255323;7149921
West;13;504639;Reisezentrum Andernach;;;Kurfürstendamm 1;56626;Andernach;;Reisezentrum;06:00-15:00;15:45-20:00;;07:00-12:45;13:45-17:00;;06:00-15:00;15:45-19:30;;07:00-12:45;13:45-17:00;;07:00-12:45;13:45-17:00;;09:30-15:00;;;09:30-15:00;;;50435183;7402437
West;38;305086;Reisezentrum Bad Dürkheim;;;Mannheimer Straße 14 / Im Bahnhof;67098;Bad Dürkheim;;Reisezentrum;08:30-12:30;13:30-17:00;;08:30-12:30;13:30-17:00;;08:30-12:30;13:30-17:00;;08:30-12:30;13:30-17:00;;08:30-12:30;13:30-17:00;;08:30-12:30;;;;;;49460834;8170365
West;13;504399;Reisezentrum Bad Hersfeld;;;Bahnhofstr. 20;36251;Bad Hersfeld;;Reisezentrum;08:00-16:30;;;08:00-12:00;12:45-16:30;;08:00-12:00;12:45-16:30;;08:00-12:00;12:45-16:30;;08:00-16:30;;;;;;;;;50870468;9714579
West;13;504324;Reisezentrum Bad Homburg;;;Am Bahnhof;61352;Bad Homburg;;Reisezentrum;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;09:30-14:30;;;;;;50221042;8621554
West;13;504472;Reisezentrum Bad Kreuznach;;;Europaplatz 1;55543;Bad Kreuznach;;Reisezentrum;06:00-20:00;;;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;08:00-13:00;14:00-16:30;;08:00-13:00;14:00-16:30;;49842857;7864123
West;13;504571;Reisezentrum Bad Nauheim;;;Bahnhofsallee;61231;Bad Nauheim;;Reisezentrum;06:15-11:45;12:15-14:45;;06:15-11:45;12:15-14:45;;08:45-11:45;12:15-18:00;;08:45-11:45;12:15-18:00;;08:45-11:45;12:15-16:00;;;;;;;;50367566;8746108
West;13;504175;Reisezentrum Bad Neuenahr;;;Hauptstraße 58;53474;Bad Neuenahr;;Reisezentrum;07:00-12:45;13:45-17:00;;06:00-15:00;15:45-20:00;;07:00-12:45;13:45-17:00;;06:00-15:00;15:45-19:30;;07:00-12:45;13:45-17:00;;09:30-15:00;;;09:30-15:00;;;50547243;7144123
West;13;505446;Reisezentrum Bad Wildungen;;;Bahnhofsplatz 1;34537;Bad Wildungen;;Reisezentrum;08:40-11:45;12:45-17:10;;08:40-11:45;12:45-17:10;;08:40-11:45;12:45-17:10;;08:40-11:45;12:45-17:10;;08:40-11:45;12:45-17:10;;;;;;;;51121006;9133993
West;13;504514;Reisezentrum Bensheim;;;Amershamplatz;64625;Bensheim;;Reisezentrum;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;10:00-15:15;;;10:00-15:15;;;49681105;8617652
West;13;504258;Reisezentrum Betzdorf (Sieg);;;Bahnhofstraße;57518;Betzdorf (Sieg);;Reisezentrum;06:00-10:30;11:30-15:30;;08:00-12:30;13:30-17:30;;08:00-12:30;13:30-17:30;;09:30-12:30;13:30-19:00;;08:00-12:30;13:30-17:30;;08:30-12:30;;;;;;50789300;7871120
West;13;504456;Reisezentrum Bingen (Rhein) Hbf;;;Hauptbahnhof ;55411;Bingen (Rhein);;Reisezentrum;07:00-12:30;13:30-17:00;;07:00-12:30;13:30-17:00;;07:00-12:30;13:30-17:00;;06:00-15:00;15:30-20:00;;07:00-12:30;13:30-17:00;;09:45-15:00;;;09:45-15:00;;;49969129;7902956
West;13;504613;Reisezentrum Cochem (Mosel);;;Bahnhofsplatz 1;56812;Cochem(Mosel);;Reisezentrum;06:00-11:00;12:00-16:00;;08:00-13:00;14:00-16:00;;08:00-13:00;14:00-16:00;;09:00-13:00;14:00-19:00;;08:00-13:00;14:00-16:00;;08:00-12:00;;;;;;50152931;7167486
West;13;503722;Reisezentrum Darmstadt Hbf;;;Am Hauptbahnhof 20;64293;Darmstadt;;Reisezentrum;06:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;08:00-16:00;;;09:00-17:00;;;49872297;8631253
West;13;510446;Reisezentrum Dillingen (Saar);;;Berckheimstraße 1;66763;Dillingen (Saar);;Reisezentrum;06:00-10:30;11:30-16:00;;09:30-13:30;14:30-19:00;;08:30-12:30;13:30-16:00;;08:30-12:30;13:30-16:00;;08:30-12:30;13:30-16:00;;08:00-12:00;;;;;;49351003;6724614
West;13;503623;Reisezentrum Frankenthal;;;Eisenbahnstraße 3;67227;Frankenthal;;Reisezentrum;06:00-20:00;;;06:00-20:00;;;06:00-20:00;;;06:00-20:00;;;07:00-18:00;;;08:00-11:30;12:00-16:00;;09:30-15:00;;;49536109;8350421
West;13;503557;Reisezentrum Frankfurt (M) Flughafen Regiobahnhof;;;Hugo-Eckener-Ring 1, T1 E0;60549;Frankfurt am Main;;Reisezentrum;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;50051610;8581300
